10	0.003	-50.697	-11.1
20	0.004	-47.073	-45.7
30	0.006	-44.905	-31.5
40	0.006	-44.432	-48.4
50	0.007	-43.626	-45.6
60	0.006	-43.955	108.9
70	0.006	-43.843	-98.8
80	0.006	-43.936	-98.9
90	0.007	-42.51	-118.3
100	0.01	-40.104	-98.8
200	0.008	-41.542	-148.2
300	0.009	-40.774	-159.4
400	0.01	-40.23	-168.7
500	0.012	-38.512	-173.6
600	0.012	-38.656	-179.1
700	0.016	-36.181	177
800	0.018	-34.874	173.3
900	0.022	-33.13	170.8
1000	0.025	-32.123	168
2000	0.053	-25.495	148.2
3000	0.075	-22.557	135.8
4000	0.087	-21.232	127.3
5000	0.096	-20.327	121.8
6000	0.104	-19.626	117.6
7000	0.109	-19.266	114.3
8000	0.115	-18.76	111.6
9000	0.12	-18.39	110
10000	0.126	-17.977	107.9

