  Hz	 Vrms	dBV	deg
10.00	0.003	-50.385	-43.1
20.00	0.005	-46.797	-16.0
30.00	0.006	-44.960	94.6
40.00	0.005	-45.672	113.1
50.00	0.007	-42.732	118.8
60.00	0.007	-43.738	174.4
70.00	0.007	-43.614	163.0
80.00	0.006	-44.225	156.8
90.00	0.008	-41.957	161.3
100.0	0.012	-38.174	164.9
110.0	0.014	-37.031	159.2
120.0	0.011	-39.357	167.7
130.0	0.008	-41.797	160.9
140.0	0.008	-42.457	167.1
150.0	0.009	-40.458	158.7
160.0	0.008	-41.729	160.9
170.0	0.009	-41.111	162.9
180.0	0.014	-37.164	160.2
190.0	0.009	-40.925	160.9
200.0	0.009	-40.866	160.6
210.0	0.012	-38.105	159.8
220.0	0.012	-38.111	155.4
230.0	0.010	-39.693	158.8
240.0	0.011	-39.317	158.0
250.0	0.011	-38.938	146.2
260.0	0.014	-37.328	156.6
270.0	0.018	-35.002	156.6
280.0	0.012	-38.695	155.7
290.0	0.012	-38.454	155.8
300.0	0.013	-37.723	156.5
310.0	0.014	-37.344	154.5
320.0	0.014	-37.093	154.1
330.0	0.015	-36.758	153.0
340.0	0.017	-35.535	153.0
350.0	0.023	-32.612	152.5
360.0	0.027	-31.454	151.7
370.0	0.018	-34.832	151.1
380.0	0.016	-36.108	150.9
390.0	0.016	-35.899	150.6
400.0	0.017	-35.517	149.6
410.0	0.018	-35.122	150.9
420.0	0.018	-34.700	148.3
430.0	0.019	-34.476	148.1
440.0	0.019	-34.204	149.1
450.0	0.021	-33.730	147.9
460.0	0.021	-33.717	146.6
470.0	0.021	-33.402	146.6
480.0	0.022	-33.111	145.4
490.0	0.023	-32.751	144.8
500.0	0.024	-32.482	145.3
510.0	0.026	-31.839	144.3
520.0	0.030	-30.562	144.0
530.0	0.037	-28.526	143.5
540.0	0.038	-28.312	143.1
550.0	0.034	-29.485	142.6
560.0	0.027	-31.245	142.6
570.0	0.027	-31.462	142.0
580.0	0.027	-31.226	141.9
590.0	0.028	-31.069	140.9
600.0	0.029	-30.769	140.4
610.0	0.030	-30.504	140.4
620.0	0.030	-30.315	139.7
630.0	0.031	-30.061	139.5
640.0	0.032	-29.841	139.2
650.0	0.033	-29.582	138.5
660.0	0.033	-29.506	138.3
670.0	0.035	-29.221	137.7
680.0	0.035	-29.006	137.1
690.0	0.036	-28.873	137.0
700.0	0.036	-28.786	137.0
710.0	0.037	-28.748	136.3
720.0	0.037	-28.579	135.9
730.0	0.038	-28.355	135.8
740.0	0.039	-28.170	135.3
750.0	0.040	-28.011	135.1
760.0	0.040	-27.946	134.7
770.0	0.041	-27.764	134.2
780.0	0.041	-27.734	134.0
790.0	0.042	-27.580	133.5
800.0	0.042	-27.481	133.1
810.0	0.043	-27.335	133.0
820.0	0.043	-27.233	132.7
830.0	0.044	-27.139	132.3
840.0	0.045	-27.022	132.1
850.0	0.045	-26.879	131.6
860.0	0.046	-26.742	131.5
870.0	0.047	-26.621	131.1
880.0	0.047	-26.550	131.1
890.0	0.047	-26.469	130.6
900.0	0.048	-26.299	130.4
910.0	0.049	-26.203	130.0
920.0	0.049	-26.128	129.8
930.0	0.050	-26.062	129.4
940.0	0.051	-25.934	129.4
950.0	0.051	-25.809	129.0
960.0	0.052	-25.689	128.6
970.0	0.053	-25.568	128.5
980.0	0.053	-25.483	128.1
990.0	0.054	-25.310	128.0
1000.0	0.055	-25.165	127.7
