Hzal	degal	Hzbr	degbr	Hzcu	degcu	Hzfe	degfe	Hzpb	degpb	Hzti	degti
10	157.3	10	110.1	10	97.3	100	-148.3	100	-75.9	100	-97.5
20	-9.4	20	10.8	20	-168.9	200	-121.3	200	-163.5	200	-113.7
30	163.3	30	-129.5	30	141.2	300	-127.8	300	-172.4	300	-121.9
40	-144.1	40	-170	40	178.1	400	-136.4	400	178.9	400	-127.9
50	116.1	50	7.2	50	170.2	500	-139.7	500	-179.6	500	-59.1
60	169.9	60	113.4	60	162.2	600	-152.2	600	174	600	-145
70	-120.6	70	-176.7	70	179.8	700	-156.3	700	171.1	700	-148.8
80	-158.9	80	-157.4	80	165.1	800	-162.1	800	170.2	800	-152.6
90	-171.3	90	-158.2	90	160.5	900	-164.4	900	166.7	900	-158.6
100	-164.5	100	-139.1	100	159	1000	-168.1	1000	164.4	1000	-154.8
110	-174	110	-168.4	110	155.2	2000	179.4	2000	147.7	2000	-170.9
120	173.4	120	-171.1	120	155.6	3000	172	3000	136.9	3000	-173.9
130	178.8	130	-167.7	130	150	4000	166.2	4000	130	4000	-176.5
140	179.5	140	-176.3	140	146.3	5000	161.5	5000	125.8	5000	-177.8
150	168.2	150	-180	150	143.5	6000	158.2	6000	122.5	6000	-178.4
160	174.7	160	-176	160	145.5	7000	154.8	7000	120.8	7000	-178.8
170	176.4	170	-177.4	170	142.8	8000	153.4	8000	119.5	8000	-178.4
180	173.6	180	-179.7	180	141.3	9000	151.4	9000	118.8	9000	-178.7
190	171.5	190	-179.9	190	140.1	10000	151	10000	118.3	10000	-178.4
200	170.2	200	178.3	200	139.2						
210	168	210	177.1	210	137.8						
220	169.4	220	177.3	220	136.8						
230	168.1	230	173	230	134.5						
240	166.1	240	173.4	240	133.6						
250	168	250	174.7	250	132.5						
260	165	260	172.6	260	131.2						
270	164.2	270	170.2	270	130.6						
280	163.1	280	169.6	280	129.5						
290	163	290	169.3	290	128.6						
300	162	300	167.6	300	127.9						
310	161.3	310	167	310	127.1						
320	160.1	320	165.9	320	126.3						
330	159.3	330	165.4	330	125.5						
340	159.1	340	163.9	340	125.2						
350	157.6	350	163.6	350	124.3						
360	156.9	360	162.8	360	123.6						
370	156.9	370	161.9	370	123						
380	156.1	380	161	380	122.5						
390	155.7	390	160.5	390	121.6						
400	154.9	400	160.2	400	121.5						
410	154.7	410	158.8	410	120.7						
420	153.6	420	158.5	420	120.3						
430	152.8	430	158.3	430	119.7						
440	151.6	440	156.7	440	119.7						
450	151.9	450	156	450	118.9						
460	151.2	460	156	460	118.6						
470	151	470	155.2	470	118						
480	150.4	480	154.6	480	117.5						
490	149.6	490	153.5	490	117.6						
500	149.3	500	154.2	500	117.5						
510	149.3	510	152.8	510	117.4						
520	148	520	152.4	520	117						
530	147.5	530	152.1	530	116.2						
540	146.9	540	152.4	540	116.5						
550	147.3	550	150.5	550	115.9						
560	146.3	560	151	560	115.3						
570	145.8	570	149.8	570	114.8						
580	145.4	580	149.1	580	114.9						
590	144.5	590	148.8	590	114.6						
600	144.3	600	148.2	600	114.6						
610	143.9	610	148	610	113.9						
620	143.2	620	147.2	620	113.7						
630	142.7	630	147	630	113.7						
640	142.6	640	146.5	640	113.3						
650	141.8	650	146.1	650	113.2						
660	141.2	660	145.6	660	113.2						
670	141.2	670	145.4	670	112.9						
680	140.9	680	144.3	680	112.9						
690	140.6	690	144.6	690	112.7						
700	139.9	700	143.5	700	112.3						
710	140	710	143.2	710	112.1						
720	138.9	720	143.1	720	112						
730	139.1	730	142.4	730	111.8						
740	138.4	740	142	740	111.4						
750	138.1	750	141.7	750	111.4						
760	138	760	141.5	760	111.3						
770	137.2	770	141	770	110.8						
780	136.3	780	141.2	780	111						
790	136.9	790	141	790	110.8						
800	135.1	800	139.7	800	110.9						
810	135.9	810	139.4	810	110.4						
820	135.4	820	139	820	110						
830	135.3	830	138.8	830	110						
840	135	840	138.5	840	110.1						
850	134.6	850	138.3	850	109.8						
860	134.3	860	137.7	860	109.6						
870	133.8	870	137.6	870	109.5						
880	133.9	880	136.9	880	109.5						
890	133.2	890	136.9	890	109.3						
900	133.2	900	136.5	900	109.1						
910	132.6	910	136.2	910	109						
920	132.6	920	135.9	920	109						
930	132.1	930	135.4	930	108.8						
940	132.1	940	135.1	940	108.7						
950	131.6	950	134.9	950	108.5						
960	131.5	960	134.5	960	108.4						
970	130.8	970	134.3	970	108.2						
980	131.3	980	133.3	980	108.8						
990	130.3	990	134	990	108						
1000	130.3	1000	133.8	1000	107.9						
