10	0.003	-49.444	106.9
20	0.004	-47.385	-85.0
30	0.004	-47.791	-84.2
40	0.005	-46.697	15
50	0.007	-43.693	-179.2
60	0.006	-44.122	51.6
70	0.006	-44.178	-67.6
80	0.006	-43.989	-104.8
90	0.007	-43.153	-88.3
100	0.01	-39.58	-87.5
200	0.008	-42.12	-97.1
300	0.009	-41.259	-98.4
400	0.008	-41.688	-115.4
500	0.01	-39.841	-119
600	0.007	-42.605	-123.9
700	0.01	-40.339	-127.5
800	0.01	-39.94	-131.5
900	0.013	-37.656	-135.8
1000	0.015	-36.36	-140.1
2000	0.015	-36.569	-163.7
3000	0.021	-33.58	-177.5
4000	0.024	-32.442	172.9
5000	0.03	-30.507	164.8
6000	0.036	-28.966	158
7000	0.04	-28.044	152
8000	0.047	-26.643	146.2
9000	0.053	-25.494	141.8
10000	0.06	-24.489	136.2

